Date,Open,High,Low,Close,Adj Close,Volume
2010-09-21,70.580002,72.059998,70.510002,71.650002,47.573433,3115300
2010-09-22,71.349998,72.300003,71.209999,71.800003,47.673035,2687000
2010-09-23,71.389999,72.160004,71.199997,71.669998,47.586708,2329400
2010-09-24,71.709999,73.190002,71.309998,73.129997,48.556110,2708000
2010-09-27,73.239998,73.449997,72.360001,72.379997,48.058128,2355800
2010-09-28,72.510002,72.599998,71.820000,72.470001,48.117878,1722900
2010-09-29,72.160004,72.400002,71.330002,71.889999,47.732800,3270300
2010-09-30,72.330002,72.489998,71.099998,71.279999,47.327759,3425200
2010-10-01,71.529999,71.550003,69.000000,69.610001,46.218941,7529800
2010-10-04,69.629997,70.540001,69.250000,69.349998,46.046299,3407800
2010-10-05,69.959999,70.870003,69.349998,70.599998,46.876266,2748800
2010-10-06,70.379997,71.500000,70.379997,70.900002,47.075439,3682500
2010-10-07,70.989998,71.160004,70.250000,70.629997,46.896175,1797300
2010-10-08,70.860001,70.870003,69.970001,70.099998,46.544273,2951700
2010-10-11,70.180000,70.610001,69.550003,70.480003,46.796589,2211300
2010-10-12,70.680000,70.769997,69.570000,70.550003,46.843071,2087500
2010-10-13,70.959999,71.260002,70.730003,71.120003,47.221523,2303600
2010-10-14,71.150002,71.430000,70.070000,70.199997,46.610680,2459800
2010-10-15,70.699997,70.889999,69.650002,70.019997,46.491158,2776800
2010-10-18,69.900002,70.190002,69.500000,70.040001,46.504440,2649200
2010-10-19,68.489998,69.699997,67.870003,69.470001,46.125988,6314400
2010-10-20,69.440002,69.970001,69.330002,69.830002,46.365009,2924900
2010-10-21,69.830002,71.889999,69.830002,71.839996,47.699577,3994100
2010-10-22,71.769997,71.839996,71.150002,71.779999,47.659744,2166400
2010-10-25,72.279999,72.690002,71.279999,71.410004,47.414097,2488700
2010-10-26,71.059998,72.129997,71.059998,71.800003,47.673035,2236800
2010-10-27,71.300003,71.550003,70.459999,70.889999,47.068806,2856600
2010-10-28,71.349998,71.669998,70.320000,71.019997,47.155136,1847500
2010-10-29,70.809998,71.519997,70.750000,71.290001,47.334404,1560700
2010-11-01,71.709999,72.199997,70.949997,71.470001,47.453926,1575200
2010-11-02,72.000000,72.449997,70.900002,71.639999,47.566776,2471000
2010-11-03,71.769997,71.940002,70.389999,70.930000,47.095364,3339700
2010-11-04,71.489998,72.120003,70.599998,71.959999,47.779259,2782600
2010-11-05,71.889999,73.699997,71.860001,73.269997,48.649055,3674100
2010-11-08,73.360001,73.589996,72.989998,73.290001,48.662342,2121700
2010-11-09,73.339996,73.400002,72.230003,72.550003,48.171009,2094900
2010-11-10,72.459999,72.459999,71.680000,71.919998,47.752697,2471500
2010-11-11,71.230003,71.250000,69.910004,70.110001,46.550922,4855500
2010-11-12,69.900002,70.300003,69.470001,69.489998,46.139263,2846000
2010-11-15,69.730003,70.110001,69.370003,69.370003,46.059574,2479500
2010-11-16,69.160004,69.489998,68.110001,68.680000,45.601440,2720400
2010-11-17,68.820000,69.070000,67.709999,68.550003,45.515121,3621600
2010-11-18,68.910004,69.309998,68.089996,69.150002,45.913506,7819600
2010-11-19,69.150002,69.739998,69.099998,69.430000,46.099419,7133700
